ticker,side,entry_date,exit_date,entry_price,exit_price,stop_price,take_profit_price,hold_days,exit_reason,trade_return_pct,weighted_return_pct,run_id
AMZN,long,2025-05-30,2025-07-14,204.84,225.69,188.4528,235.566,30,max_hold,10.1787,1.0179,RUN_20260317T112829Z
AMZN,long,2025-07-16,2025-08-26,225.88,228.71,207.8096,259.762,30,max_hold,1.2529,0.1253,RUN_20260317T112829Z
AMZN,long,2025-08-28,2025-10-09,229.01,227.74,210.6892,263.3615,30,max_hold,-0.5546,-0.0555,RUN_20260317T112829Z
AMZN,long,2025-11-07,2025-11-18,242.9,223.468,223.468,279.335,8,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
AMZN,long,2026-01-15,2026-02-06,239.31,220.1652,220.1652,275.2065,16,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
GOOGL,long,2022-04-04,2022-04-11,139.208,128.0713,128.0713,160.0892,6,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
GOOGL,long,2022-08-04,2022-08-30,116.517,107.1956,107.1956,133.9945,19,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
GOOGL,long,2023-02-02,2023-02-09,104.9327,96.5381,96.5381,120.6727,6,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
GOOGL,long,2023-03-28,2023-05-09,101.6003,106.47,93.4723,116.8403,30,max_hold,4.793,0.4793,RUN_20260317T112829Z
GOOGL,long,2023-05-11,2023-06-23,114.454,121.3371,105.2977,131.6221,30,max_hold,6.0139,0.6014,RUN_20260317T112829Z
GOOGL,long,2023-07-14,2023-08-24,123.777,128.7162,113.8748,142.3435,30,max_hold,3.9904,0.399,RUN_20260317T112829Z
GOOGL,long,2023-08-29,2023-10-10,131.156,136.9283,120.6635,150.8294,30,max_hold,4.4011,0.4401,RUN_20260317T112829Z
GOOGL,long,2023-10-12,2023-10-25,139.8938,128.7023,128.7023,160.8778,10,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
GOOGL,long,2023-12-08,2024-01-23,133.0999,145.8347,122.4519,153.0649,30,max_hold,9.5678,0.9568,RUN_20260317T112829Z
GOOGL,long,2024-01-25,2024-02-02,148.8398,136.9327,136.9327,171.1658,7,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
GOOGL,long,2024-02-08,2024-03-04,144.6346,133.0638,133.0638,166.3298,17,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
GOOGL,long,2024-04-03,2024-05-14,152.3409,168.9437,140.1536,175.192,30,max_hold,10.8984,1.0898,RUN_20260317T112829Z
GOOGL,long,2024-05-16,2024-06-28,171.8695,180.8642,158.1199,197.6499,30,max_hold,5.2334,0.5233,RUN_20260317T112829Z
GOOGL,long,2024-07-02,2024-07-25,180.7649,166.3037,166.3037,207.8797,17,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
GOOGL,long,2024-10-29,2024-12-10,166.767,184.3179,153.4256,191.7821,30,max_hold,10.5242,1.0524,RUN_20260317T112829Z
GOOGL,long,2024-12-12,2025-01-28,194.1026,194.4013,178.5744,223.218,30,max_hold,0.1538,0.0154,RUN_20260317T112829Z
GOOGL,long,2025-01-30,2025-02-12,197.0888,181.3217,181.3217,226.6522,10,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
GOOGL,long,2025-05-27,2025-07-09,169.572,176.2228,156.0063,195.0078,30,max_hold,3.9221,0.3922,RUN_20260317T112829Z
GOOGL,long,2025-07-11,2025-08-12,176.3924,202.8513,162.281,202.8513,23,take_profit,15.0,1.5,RUN_20260317T112829Z
GOOGL,long,2025-08-14,2025-09-04,201.0468,231.2038,184.9631,231.2038,15,take_profit,15.0,1.5,RUN_20260317T112829Z
GOOGL,long,2025-09-08,2025-10-17,235.1505,252.9564,216.3385,270.4231,30,max_hold,7.5721,0.7572,RUN_20260317T112829Z
GOOGL,long,2025-10-21,2025-11-17,254.3944,292.5536,234.0428,292.5536,20,take_profit,15.0,1.5,RUN_20260317T112829Z
GOOGL,long,2025-11-19,2026-01-02,286.7704,314.9283,263.8288,329.786,30,max_hold,9.819,0.9819,RUN_20260317T112829Z
GOOGL,long,2026-01-06,2026-02-18,316.1774,303.1166,290.8832,363.604,30,max_hold,-4.1308,-0.4131,RUN_20260317T112829Z
META,long,2023-01-09,2023-01-27,130.2502,149.7877,119.8302,149.7877,14,take_profit,15.0,1.5,RUN_20260317T112829Z
META,long,2023-01-31,2023-02-02,146.9237,168.9622,135.1698,168.9622,3,take_profit,15.0,1.5,RUN_20260317T112829Z
META,long,2023-02-06,2023-02-17,185.236,170.4172,170.4172,213.0214,10,stop_loss,-8.0,-0.8,RUN_20260317T112829Z
META,long,2023-02-22,2023-03-15,169.8833,195.3658,156.2927,195.3658,16,take_profit,15.0,1.5,RUN_20260317T112829Z
META,long,2023-03-17,2023-04-27,199.1688,229.0441,183.2353,229.0441,29,take_profit,15.0,1.5,RUN_20260317T112829Z
